Answer.INTERFACE,Answer.MECHANISM,Answer.question0,Answer.question1,Answer.question2,Answer.question3,Answer.question4,Answer.question5,Answer.question6,Answer.question7,Answer.question8,Answer.question9,Answer.question10,Answer.question11,Answer.question12,Answer.question13,Answer.question14,Answer.question15,Answer.trueAnswer0,Answer.trueAnswer1,Answer.trueAnswer2,Answer.trueAnswer3,Answer.trueAnswer4,Answer.trueAnswer5,Answer.trueAnswer6,Answer.trueAnswer7,Answer.trueAnswer8,Answer.trueAnswer9,Answer.trueAnswer10,Answer.trueAnswer11,Answer.trueAnswer12,Answer.trueAnswer13,Answer.trueAnswer14,Answer.trueAnswer15,Answer.answer0,Answer.answer1,Answer.answer2,Answer.answer3,Answer.answer4,Answer.answer5,Answer.answer6,Answer.answer7,Answer.answer8,Answer.answer9,Answer.answer10,Answer.answer11,Answer.answer12,Answer.answer13,Answer.answer14,Answer.answer15,Answer.comments
subset,multiplicative,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/zmJvsAn.jpg,http://i.imgur.com/jmWme5a.jpg,http://i.imgur.com/2hn2Eu8.jpg,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/cz4D4eX.jpg,Tiger,Puma,Leopard,Lion(ess),Cheetah,Puma,Leopard,Jaguar,Cheetah,Jaguar,Puma,Tiger,Tiger,Lion(ess),Cheetah,Jaguar,Tiger,Lion(ess)|Jaguar|Cheetah,Leopard|Cheetah,Lion(ess),Leopard|Cheetah,Lion(ess)|Jaguar|Cheetah,Leopard|Cheetah,Leopard|Cheetah,Leopard|Cheetah,Leopard|Cheetah,Lion(ess)|Jaguar,Jaguar|Tiger,Jaguar|Tiger,Lion(ess),Leopard,Leopard|Cheetah,
subset,none,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/zmJvsAn.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/jmWme5a.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/2hn2Eu8.jpg,http://i.imgur.com/cz4D4eX.jpg,Jaguar,Puma,Tiger,Cheetah,Lion(ess),Tiger,Leopard,Cheetah,Puma,Jaguar,Leopard,Lion(ess),Tiger,Puma,Cheetah,Jaguar,Cheetah|Jaguar|Leopard,Jaguar|Lion(ess),Tiger,Cheetah|Leopard,Lion(ess),Tiger,Cheetah|Leopard,Cheetah|Leopard,Cheetah|Jaguar|Puma|Leopard,Cheetah|Leopard,Cheetah|Leopard,Lion(ess),Tiger,Jaguar|Lion(ess),Cheetah|Leopard,Cheetah|Leopard,
single-skip,multiplicative,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/jmWme5a.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/cz4D4eX.jpg,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/zmJvsAn.jpg,http://i.imgur.com/2hn2Eu8.jpg,Puma,Jaguar,Tiger,Cheetah,Puma,Cheetah,Lion(ess),Tiger,Jaguar,Jaguar,Puma,Tiger,Lion(ess),Leopard,Leopard,Cheetah,Puma,Cheetah,Tiger,Cheetah,Jaguar,Leopard,Lion(ess),Tiger,Cheetah,Leopard,Puma,Tiger,Lion(ess),Leopard,Cheetah,Leopard,
single-skip,multiplicative,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/cz4D4eX.jpg,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/zmJvsAn.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/jmWme5a.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/2hn2Eu8.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/UFLgizH.jpg,Cheetah,Jaguar,Puma,Tiger,Lion(ess),Puma,Jaguar,Leopard,Cheetah,Lion(ess),Jaguar,Tiger,Tiger,Cheetah,Leopard,Puma,Cheetah,Tiger,Lion(ess),Tiger,Lion(ess),Puma,Cheetah,Cheetah,Leopard,Lion(ess),Puma,Tiger,Tiger,Puma,Leopard,Jaguar,/
subset,multiplicative,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/jmWme5a.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/2hn2Eu8.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/cz4D4eX.jpg,http://i.imgur.com/zmJvsAn.jpg,Cheetah,Puma,Puma,Lion(ess),Puma,Tiger,Lion(ess),Leopard,Cheetah,Cheetah,Tiger,Jaguar,Tiger,Jaguar,Jaguar,Leopard,Cheetah,Puma|Jaguar|Lion(ess),Puma|Jaguar,Lion(ess),Puma|Jaguar,Tiger,Lion(ess),Leopard,Cheetah,Cheetah,Tiger,Leopard,Tiger,Leopard,Leopard,Leopard,I would like to participate in future studies
single-noskip,additive,http://i.imgur.com/zmJvsAn.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/2hn2Eu8.jpg,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/cz4D4eX.jpg,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/jmWme5a.jpg,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/pH8OohI.jpg,Leopard,Leopard,Cheetah,Lion(ess),Jaguar,Cheetah,Puma,Tiger,Cheetah,Puma,Lion(ess),Jaguar,Jaguar,Tiger,Tiger,Puma,Leopard,Leopard,Cheetah,Lion(ess),Leopard,Cheetah,Puma,Tiger,Cheetah,Puma,Puma,Leopard,Leopard,Tiger,Tiger,Puma,
single-skip,multiplicative,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/zmJvsAn.jpg,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/2hn2Eu8.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/cz4D4eX.jpg,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/jmWme5a.jpg,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,Cheetah,Jaguar,Lion(ess),Leopard,Puma,Cheetah,Cheetah,Puma,Jaguar,Jaguar,Tiger,Lion(ess),Tiger,Tiger,Puma,Leopard,Cheetah,Leopard,Lion(ess),Skip,Jaguar,Cheetah,Jaguar,Lion(ess),Leopard,Leopard,Tiger,Lion(ess),Tiger,Tiger,Lion(ess),Leopard,
single-noskip,additive,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/cz4D4eX.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/zmJvsAn.jpg,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/2hn2Eu8.jpg,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/jmWme5a.jpg,Puma,Tiger,Jaguar,Cheetah,Leopard,Lion(ess),Puma,Tiger,Jaguar,Tiger,Cheetah,Leopard,Cheetah,Jaguar,Puma,Lion(ess),Lion(ess),Tiger,Tiger,Tiger,Tiger,Lion(ess),Puma,Cheetah,Tiger,Cheetah,Cheetah,Tiger,Jaguar,Tiger,Puma,Lion(ess),Can be found easily
subset,multiplicative,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/cz4D4eX.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/zmJvsAn.jpg,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/2hn2Eu8.jpg,http://i.imgur.com/jmWme5a.jpg,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/pH8OohI.jpg,Puma,Tiger,Jaguar,Jaguar,Leopard,Jaguar,Cheetah,Leopard,Puma,Tiger,Cheetah,Lion(ess),Lion(ess),Cheetah,Tiger,Puma,Puma|Tiger,Tiger,Jaguar|Cheetah|Leopard,Jaguar|Cheetah|Leopard,Jaguar|Cheetah|Leopard,Jaguar|Cheetah|Leopard,Jaguar|Cheetah|Leopard,Jaguar|Cheetah|Leopard,Puma,Tiger,Jaguar|Cheetah|Leopard,Lion(ess),Lion(ess),Jaguar|Cheetah|Leopard,Tiger,Puma,THIS SURVEY IS VERY INTEREST TO DO
subset,none,http://i.imgur.com/cz4D4eX.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/2hn2Eu8.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/zmJvsAn.jpg,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/jmWme5a.jpg,Jaguar,Cheetah,Cheetah,Leopard,Puma,Tiger,Jaguar,Jaguar,Tiger,Puma,Lion(ess),Tiger,Leopard,Puma,Cheetah,Lion(ess),Cheetah|Jaguar,Cheetah|Leopard,Cheetah,Cheetah|Jaguar|Leopard,Lion(ess)|Puma|Jaguar,Tiger,Cheetah,Cheetah,Tiger,Lion(ess),Lion(ess),Tiger,Cheetah,Lion(ess)|Puma,Cheetah|Jaguar,Lion(ess),
