Answer.INTERFACE,Answer.MECHANISM,Answer.question0,Answer.question1,Answer.question10,Answer.question11,Answer.question12,Answer.question13,Answer.question14,Answer.question15,Answer.question16,Answer.question17,Answer.question18,Answer.question19,Answer.question2,Answer.question20,Answer.question21,Answer.question22,Answer.question23,Answer.question24,Answer.question3,Answer.question4,Answer.question5,Answer.question6,Answer.question7,Answer.question8,Answer.question9,Answer.trueAnswer0,Answer.trueAnswer1,Answer.trueAnswer10,Answer.trueAnswer11,Answer.trueAnswer12,Answer.trueAnswer13,Answer.trueAnswer14,Answer.trueAnswer15,Answer.trueAnswer16,Answer.trueAnswer17,Answer.trueAnswer18,Answer.trueAnswer19,Answer.trueAnswer2,Answer.trueAnswer20,Answer.trueAnswer21,Answer.trueAnswer22,Answer.trueAnswer23,Answer.trueAnswer24,Answer.trueAnswer3,Answer.trueAnswer4,Answer.trueAnswer5,Answer.trueAnswer6,Answer.trueAnswer7,Answer.trueAnswer8,Answer.trueAnswer9,Answer.answer0,Answer.answer1,Answer.answer10,Answer.answer11,Answer.answer12,Answer.answer13,Answer.answer14,Answer.answer15,Answer.answer16,Answer.answer17,Answer.answer18,Answer.answer19,Answer.answer2,Answer.answer20,Answer.answer21,Answer.answer22,Answer.answer23,Answer.answer24,Answer.answer3,Answer.answer4,Answer.answer5,Answer.answer6,Answer.answer7,Answer.answer8,Answer.answer9,Answer.comments
subset,multiplicative,dfgcmyi9zlmzojy/2,ida8bqy4xp5417p/23,p8x7qrx57foej2v/17,lje1kpehfxsqxg6/3,lgbjckfncok88u1/21,xzadddndcont63h/11,nm9rf5ltug85eay/8,9omx3hyvbsi6s4z/14,wc3yesvzcawev2b/18,zxvn4kcvil8onmd/6,9v2qvj0b6ny4lrp/5,867rdbxwrn1tlom/13,zi53rt5amlnlle4/0,0t7hyu660p7bja8/1,aqjoi7izpzp6acv/10,m5vgbt7e802e612/20,c7557xr0oa9typw/22,a9sdxr2f6l0ngql/24,0xtz9sah11iwzfb/19,wx0obc7c8f6ce6w/16,6l8h1tv26zedant/7,h53qagtbagigq4f/12,c8vfeb66wb94r09/4,2e3tfgr5x7rfryb/9,c39wrwcnjy60fx0/15,Russian,Japanese,Hebrew,Thai,Japanese,Hindi,Tamil,Latin,Chinese,Tamil,Thai,Latin,Russian,Russian,Hindi,Chinese,Japanese,Japanese,Chinese,Hebrew,Tamil,Hindi,Thai,Hindi,Hebrew,Russian|Hindi|Hebrew|Tamil,Japanese|Chinese|Thai,Latin|Russian|Hindi|Hebrew|Tamil,Latin|Russian|Hindi|Hebrew|Tamil,Japanese|Chinese|Thai,Latin|Russian|Hindi|Hebrew|Tamil,Latin|Russian|Hindi|Hebrew|Tamil,Latin|Russian,Japanese|Chinese|Thai,Latin|Russian|Hindi|Hebrew|Tamil,Latin|Russian|Hindi|Hebrew|Tamil,Latin|Russian|Hindi|Hebrew|Tamil,Russian,Latin|Russian|Hebrew|Tamil,Latin|Russian|Hindi|Tamil,Japanese|Chinese|Thai,Japanese|Chinese|Thai,Japanese|Chinese|Thai,Japanese|Chinese|Thai,Hebrew,Latin|Hindi|Tamil,Latin|Hindi|Hebrew|Tamil,Russian|Hindi|Tamil,Latin|Russian|Hindi|Hebrew|Tamil,Latin|Russian|Hindi|Hebrew|Tamil,
single-skip,multiplicative,0xtz9sah11iwzfb/19,6l8h1tv26zedant/7,dfgcmyi9zlmzojy/2,wc3yesvzcawev2b/18,xzadddndcont63h/11,c39wrwcnjy60fx0/15,zxvn4kcvil8onmd/6,c8vfeb66wb94r09/4,h53qagtbagigq4f/12,lgbjckfncok88u1/21,nm9rf5ltug85eay/8,2e3tfgr5x7rfryb/9,ida8bqy4xp5417p/23,c7557xr0oa9typw/22,lje1kpehfxsqxg6/3,867rdbxwrn1tlom/13,p8x7qrx57foej2v/17,0t7hyu660p7bja8/1,9v2qvj0b6ny4lrp/5,9omx3hyvbsi6s4z/14,wx0obc7c8f6ce6w/16,m5vgbt7e802e612/20,aqjoi7izpzp6acv/10,zi53rt5amlnlle4/0,a9sdxr2f6l0ngql/24,Chinese,Tamil,Russian,Chinese,Hindi,Hebrew,Tamil,Thai,Hindi,Japanese,Tamil,Hindi,Japanese,Japanese,Thai,Latin,Hebrew,Russian,Thai,Latin,Hebrew,Chinese,Hindi,Russian,Japanese,Chinese,Japanese,Skip,Chinese,Hindi,Hebrew,Tamil,Tamil,Hindi,Skip,Tamil,Hindi,Japanese,Skip,Latin,Skip,Hebrew,Russian,Hebrew,Latin,Thai,Skip,Hindi,Latin,Skip,excellent hit. Thank you
single-noskip,additive,9v2qvj0b6ny4lrp/5,aqjoi7izpzp6acv/10,2e3tfgr5x7rfryb/9,c8vfeb66wb94r09/4,ida8bqy4xp5417p/23,dfgcmyi9zlmzojy/2,c39wrwcnjy60fx0/15,m5vgbt7e802e612/20,zi53rt5amlnlle4/0,nm9rf5ltug85eay/8,c7557xr0oa9typw/22,lgbjckfncok88u1/21,6l8h1tv26zedant/7,wx0obc7c8f6ce6w/16,wc3yesvzcawev2b/18,lje1kpehfxsqxg6/3,867rdbxwrn1tlom/13,9omx3hyvbsi6s4z/14,a9sdxr2f6l0ngql/24,zxvn4kcvil8onmd/6,xzadddndcont63h/11,0t7hyu660p7bja8/1,h53qagtbagigq4f/12,p8x7qrx57foej2v/17,0xtz9sah11iwzfb/19,Thai,Hindi,Hindi,Thai,Japanese,Russian,Hebrew,Chinese,Russian,Tamil,Japanese,Japanese,Tamil,Hebrew,Chinese,Thai,Latin,Latin,Japanese,Tamil,Hindi,Russian,Hindi,Hebrew,Chinese,Hebrew,Hindi,Hindi,Russian,Chinese,Russian,Russian,Chinese,Japanese,Tamil,Chinese,Chinese,Tamil,Hebrew,Chinese,Tamil,Russian,Japanese,Thai,Tamil,Hindi,Russian,Hindi,Hebrew,Chinese,interesting
subset,none,0t7hyu660p7bja8/1,nm9rf5ltug85eay/8,p8x7qrx57foej2v/17,ida8bqy4xp5417p/23,867rdbxwrn1tlom/13,c39wrwcnjy60fx0/15,2e3tfgr5x7rfryb/9,9omx3hyvbsi6s4z/14,h53qagtbagigq4f/12,lgbjckfncok88u1/21,c7557xr0oa9typw/22,wc3yesvzcawev2b/18,6l8h1tv26zedant/7,0xtz9sah11iwzfb/19,9v2qvj0b6ny4lrp/5,a9sdxr2f6l0ngql/24,wx0obc7c8f6ce6w/16,m5vgbt7e802e612/20,lje1kpehfxsqxg6/3,zi53rt5amlnlle4/0,c8vfeb66wb94r09/4,xzadddndcont63h/11,dfgcmyi9zlmzojy/2,aqjoi7izpzp6acv/10,zxvn4kcvil8onmd/6,Russian,Tamil,Hebrew,Japanese,Latin,Hebrew,Hindi,Latin,Hindi,Japanese,Japanese,Chinese,Tamil,Chinese,Thai,Japanese,Hebrew,Chinese,Thai,Russian,Thai,Hindi,Russian,Hindi,Tamil,Russian,Tamil|Thai|Hindi|Hebrew,Hebrew,Chinese|Thai|Japanese,Latin|Hebrew|Russian,Hebrew,Russian,Latin|Russian,Tamil|Thai|Hindi|Hebrew,Chinese|Thai|Japanese,Chinese|Thai|Japanese,Chinese|Thai|Japanese,Tamil|Thai|Hindi|Hebrew,Chinese|Thai|Japanese,Chinese|Tamil|Thai|Hindi|Hebrew,Chinese|Thai|Japanese,Chinese|Tamil|Thai|Hindi|Hebrew,Chinese|Thai|Japanese,Tamil|Thai|Hindi|Hebrew,Russian,Tamil|Thai|Hindi|Hebrew,Tamil|Thai|Hindi|Hebrew,Hebrew|Russian,Tamil|Thai|Hindi|Hebrew,Tamil|Thai|Hindi|Hebrew,
single-noskip,additive,zxvn4kcvil8onmd/6,2e3tfgr5x7rfryb/9,a9sdxr2f6l0ngql/24,867rdbxwrn1tlom/13,c8vfeb66wb94r09/4,p8x7qrx57foej2v/17,c39wrwcnjy60fx0/15,m5vgbt7e802e612/20,xzadddndcont63h/11,9v2qvj0b6ny4lrp/5,lje1kpehfxsqxg6/3,dfgcmyi9zlmzojy/2,zi53rt5amlnlle4/0,wc3yesvzcawev2b/18,c7557xr0oa9typw/22,lgbjckfncok88u1/21,aqjoi7izpzp6acv/10,h53qagtbagigq4f/12,0t7hyu660p7bja8/1,wx0obc7c8f6ce6w/16,6l8h1tv26zedant/7,0xtz9sah11iwzfb/19,ida8bqy4xp5417p/23,9omx3hyvbsi6s4z/14,nm9rf5ltug85eay/8,Tamil,Hindi,Japanese,Latin,Thai,Hebrew,Hebrew,Chinese,Hindi,Thai,Thai,Russian,Russian,Chinese,Japanese,Japanese,Hindi,Hindi,Russian,Hebrew,Tamil,Chinese,Japanese,Latin,Tamil,Tamil,Hindi,Hindi,Latin,Thai,Thai,Thai,Chinese,Hindi,Chinese,Hindi,Chinese,Thai,Chinese,Chinese,Japanese,Hindi,Hindi,Hindi,Latin,Tamil,Japanese,Chinese,Russian,Tamil,good hit to complete
single-noskip,additive,9v2qvj0b6ny4lrp/5,nm9rf5ltug85eay/8,wx0obc7c8f6ce6w/16,a9sdxr2f6l0ngql/24,lje1kpehfxsqxg6/3,h53qagtbagigq4f/12,xzadddndcont63h/11,dfgcmyi9zlmzojy/2,wc3yesvzcawev2b/18,c39wrwcnjy60fx0/15,c7557xr0oa9typw/22,9omx3hyvbsi6s4z/14,c8vfeb66wb94r09/4,zxvn4kcvil8onmd/6,0xtz9sah11iwzfb/19,867rdbxwrn1tlom/13,0t7hyu660p7bja8/1,ida8bqy4xp5417p/23,m5vgbt7e802e612/20,aqjoi7izpzp6acv/10,p8x7qrx57foej2v/17,2e3tfgr5x7rfryb/9,lgbjckfncok88u1/21,6l8h1tv26zedant/7,zi53rt5amlnlle4/0,Thai,Tamil,Hebrew,Japanese,Thai,Hindi,Hindi,Russian,Chinese,Hebrew,Japanese,Latin,Thai,Tamil,Chinese,Latin,Russian,Japanese,Chinese,Hindi,Hebrew,Hindi,Japanese,Tamil,Russian,Hebrew,Tamil,Hebrew,Japanese,Hebrew,Hindi,Hindi,Latin,Japanese,Thai,Chinese,Latin,Thai,Tamil,Chinese,Latin,Russian,Japanese,Japanese,Hindi,Hebrew,Hindi,Chinese,Tamil,Russian,
single-skip,multiplicative,c8vfeb66wb94r09/4,lgbjckfncok88u1/21,lje1kpehfxsqxg6/3,ida8bqy4xp5417p/23,nm9rf5ltug85eay/8,9omx3hyvbsi6s4z/14,9v2qvj0b6ny4lrp/5,6l8h1tv26zedant/7,867rdbxwrn1tlom/13,c39wrwcnjy60fx0/15,c7557xr0oa9typw/22,xzadddndcont63h/11,0xtz9sah11iwzfb/19,wc3yesvzcawev2b/18,dfgcmyi9zlmzojy/2,wx0obc7c8f6ce6w/16,zxvn4kcvil8onmd/6,0t7hyu660p7bja8/1,p8x7qrx57foej2v/17,a9sdxr2f6l0ngql/24,zi53rt5amlnlle4/0,m5vgbt7e802e612/20,aqjoi7izpzp6acv/10,2e3tfgr5x7rfryb/9,h53qagtbagigq4f/12,Thai,Japanese,Thai,Japanese,Tamil,Latin,Thai,Tamil,Latin,Hebrew,Japanese,Hindi,Chinese,Chinese,Russian,Hebrew,Tamil,Russian,Hebrew,Japanese,Russian,Chinese,Hindi,Hindi,Hindi,Skip,Skip,Tamil,Chinese,Skip,Latin,Skip,Tamil,Latin,Hebrew,Chinese,Skip,Chinese,Chinese,Skip,Hebrew,Skip,Russian,Hebrew,Chinese,Russian,Skip,Hebrew,Skip,Skip,
subset,multiplicative,ida8bqy4xp5417p/23,dfgcmyi9zlmzojy/2,zi53rt5amlnlle4/0,c7557xr0oa9typw/22,wc3yesvzcawev2b/18,aqjoi7izpzp6acv/10,9omx3hyvbsi6s4z/14,p8x7qrx57foej2v/17,lje1kpehfxsqxg6/3,xzadddndcont63h/11,zxvn4kcvil8onmd/6,wx0obc7c8f6ce6w/16,2e3tfgr5x7rfryb/9,6l8h1tv26zedant/7,0t7hyu660p7bja8/1,867rdbxwrn1tlom/13,a9sdxr2f6l0ngql/24,c8vfeb66wb94r09/4,0xtz9sah11iwzfb/19,m5vgbt7e802e612/20,9v2qvj0b6ny4lrp/5,nm9rf5ltug85eay/8,h53qagtbagigq4f/12,c39wrwcnjy60fx0/15,lgbjckfncok88u1/21,Japanese,Russian,Russian,Japanese,Chinese,Hindi,Latin,Hebrew,Thai,Hindi,Tamil,Hebrew,Hindi,Tamil,Russian,Latin,Japanese,Thai,Chinese,Chinese,Thai,Tamil,Hindi,Hebrew,Japanese,Chinese|Thai|Japanese,Chinese|Thai|Japanese,Chinese|Thai|Latin,Chinese|Thai|Japanese,Chinese|Thai|Japanese,Hindi|Thai|Japanese,Russian|Chinese|Thai,Chinese|Thai|Japanese,Chinese|Thai|Japanese,Hindi|Tamil|Chinese,Tamil|Chinese|Thai,Chinese|Thai|Hebrew,Hindi|Chinese|Thai,Tamil|Thai|Japanese,Russian|Thai|Japanese,Chinese|Thai|Latin,Chinese|Thai|Japanese,Chinese|Thai|Japanese,Chinese|Thai|Japanese,Chinese|Thai|Japanese,Chinese|Thai|Japanese,Tamil|Chinese|Thai,Hindi|Chinese|Thai,Thai|Hebrew|Japanese,Chinese|Thai|Japanese,Very Interesting Task.
subset,multiplicative,zxvn4kcvil8onmd/6,9v2qvj0b6ny4lrp/5,wc3yesvzcawev2b/18,2e3tfgr5x7rfryb/9,6l8h1tv26zedant/7,0t7hyu660p7bja8/1,a9sdxr2f6l0ngql/24,lje1kpehfxsqxg6/3,zi53rt5amlnlle4/0,lgbjckfncok88u1/21,aqjoi7izpzp6acv/10,9omx3hyvbsi6s4z/14,c7557xr0oa9typw/22,m5vgbt7e802e612/20,wx0obc7c8f6ce6w/16,xzadddndcont63h/11,h53qagtbagigq4f/12,p8x7qrx57foej2v/17,dfgcmyi9zlmzojy/2,0xtz9sah11iwzfb/19,c39wrwcnjy60fx0/15,ida8bqy4xp5417p/23,nm9rf5ltug85eay/8,c8vfeb66wb94r09/4,867rdbxwrn1tlom/13,Tamil,Thai,Chinese,Hindi,Tamil,Russian,Japanese,Thai,Russian,Japanese,Hindi,Latin,Japanese,Chinese,Hebrew,Hindi,Hindi,Hebrew,Russian,Chinese,Hebrew,Japanese,Tamil,Thai,Latin,Tamil|Hindi,Thai,Japanese|Chinese,Thai,Tamil|Hindi,Russian,Japanese|Chinese,Tamil|Hindi,Russian,Japanese,Thai,Latin,Japanese|Chinese,Japanese|Chinese,Hebrew,Tamil|Hindi,Tamil|Hindi,Hebrew,Russian,Japanese|Chinese,Hebrew,Japanese|Chinese,Tamil|Hindi,Thai,Latin,Thank You
subset,none,c7557xr0oa9typw/22,ida8bqy4xp5417p/23,m5vgbt7e802e612/20,9v2qvj0b6ny4lrp/5,6l8h1tv26zedant/7,aqjoi7izpzp6acv/10,p8x7qrx57foej2v/17,867rdbxwrn1tlom/13,dfgcmyi9zlmzojy/2,zi53rt5amlnlle4/0,a9sdxr2f6l0ngql/24,zxvn4kcvil8onmd/6,c39wrwcnjy60fx0/15,2e3tfgr5x7rfryb/9,nm9rf5ltug85eay/8,lje1kpehfxsqxg6/3,xzadddndcont63h/11,0t7hyu660p7bja8/1,wc3yesvzcawev2b/18,h53qagtbagigq4f/12,9omx3hyvbsi6s4z/14,lgbjckfncok88u1/21,wx0obc7c8f6ce6w/16,c8vfeb66wb94r09/4,0xtz9sah11iwzfb/19,Japanese,Japanese,Chinese,Thai,Tamil,Hindi,Hebrew,Latin,Russian,Russian,Japanese,Tamil,Hebrew,Hindi,Tamil,Thai,Hindi,Russian,Chinese,Hindi,Latin,Japanese,Hebrew,Thai,Chinese,Japanese|Chinese,Japanese|Chinese,Japanese|Chinese,Hebrew|Hindi,Hebrew|Hindi,Hebrew|Hindi,Hebrew|Hindi,Latin,Russian,Russian,Japanese|Chinese,Hebrew|Hindi,Hebrew|Hindi,Russian,Hebrew|Latin|Hindi,Hebrew|Latin|Hindi,Hebrew|Hindi,Russian,Japanese|Chinese,Hebrew|Hindi,Latin,Japanese|Chinese,Hebrew|Hindi,Hebrew|Hindi,Japanese|Chinese,
