Answer.INTERFACE,Answer.MECHANISM,Answer.question0,Answer.question1,Answer.question10,Answer.question11,Answer.question12,Answer.question13,Answer.question14,Answer.question15,Answer.question2,Answer.question3,Answer.question4,Answer.question5,Answer.question6,Answer.question7,Answer.question8,Answer.question9,Answer.trueAnswer0,Answer.trueAnswer1,Answer.trueAnswer10,Answer.trueAnswer11,Answer.trueAnswer12,Answer.trueAnswer13,Answer.trueAnswer14,Answer.trueAnswer15,Answer.trueAnswer2,Answer.trueAnswer3,Answer.trueAnswer4,Answer.trueAnswer5,Answer.trueAnswer6,Answer.trueAnswer7,Answer.trueAnswer8,Answer.trueAnswer9,Answer.answer0,Answer.answer1,Answer.answer10,Answer.answer11,Answer.answer12,Answer.answer13,Answer.answer14,Answer.answer15,Answer.answer2,Answer.answer3,Answer.answer4,Answer.answer5,Answer.answer6,Answer.answer7,Answer.answer8,Answer.answer9,Answer.comments
single-skip,multiplicative,1.4.08,1.4.10,1.4.02,1.4.11,1.1.07,1.4.01,1.1.01,1.1.05,1.4.12,1.4.03,1.5.06,1.5.04,1.5.05,1.5.07,1.1.09,1.1.12,Brick,Grass,Wood,Sand,Sand,Brick,Grass,Cloth,Sand,Wood,Brick,Sand,Gravel,Grass,Wood,Brick,Brick,Grass,Brick,Sand,Sand,Brick,Grass,Brick,Sand,Brick,Brick,Sand,Gravel,Grass,Cloth,Brick,good HIT
single-noskip,additive,1.4.02,1.4.11,1.4.10,1.5.07,1.1.09,1.1.07,1.4.12,1.4.01,1.1.01,1.1.05,1.4.03,1.5.05,1.1.12,1.5.04,1.4.08,1.5.06,Wood,Sand,Grass,Grass,Wood,Sand,Sand,Brick,Grass,Cloth,Wood,Gravel,Brick,Sand,Brick,Brick,Brick,Cloth,Grass,Grass,Grass,Sand,Sand,Brick,Grass,Cloth,Brick,Grass,Brick,Sand,Sand,Sand,
single-noskip,additive,1.5.06,1.1.07,1.1.05,1.4.03,1.4.08,1.4.10,1.1.12,1.4.01,1.1.09,1.4.02,1.4.11,1.5.04,1.1.01,1.5.05,1.5.07,1.4.12,Brick,Sand,Cloth,Wood,Brick,Grass,Brick,Brick,Wood,Wood,Sand,Sand,Grass,Gravel,Grass,Sand,Brick,Sand,Grass,Brick,Brick,Grass,Brick,Brick,Wood,Brick,Sand,Sand,Grass,Gravel,Grass,Sand,-
single-noskip,additive,1.5.07,1.1.12,1.4.08,1.4.11,1.1.05,1.4.12,1.4.03,1.5.06,1.1.09,1.5.04,1.5.05,1.4.02,1.4.10,1.1.01,1.4.01,1.1.07,Grass,Brick,Brick,Sand,Cloth,Sand,Wood,Brick,Wood,Sand,Gravel,Wood,Grass,Grass,Brick,Sand,Grass,Brick,Brick,Sand,Cloth,Sand,Wood,Brick,Wood,Sand,Gravel,Brick,Grass,Grass,Brick,Sand,
single-skip,multiplicative,1.4.08,1.4.01,1.4.02,1.1.05,1.4.12,1.4.11,1.4.03,1.5.07,1.5.06,1.1.01,1.4.10,1.1.12,1.5.04,1.1.09,1.5.05,1.1.07,Brick,Brick,Wood,Cloth,Sand,Sand,Wood,Grass,Brick,Grass,Grass,Brick,Sand,Wood,Gravel,Sand,Skip,Brick,Skip,Skip,Skip,Skip,Wood,Grass,Skip,Grass,Grass,Brick,Sand,Wood,Skip,Skip,
subset,none,1.1.09,1.1.12,1.4.03,1.4.11,1.4.10,1.4.12,1.4.02,1.1.01,1.4.08,1.5.04,1.5.05,1.5.07,1.1.05,1.4.01,1.1.07,1.5.06,Wood,Brick,Wood,Sand,Grass,Sand,Wood,Grass,Brick,Sand,Gravel,Grass,Cloth,Brick,Sand,Brick,Wood|Cloth,Brick,Wood,Sand|Gravel|Wood|Cloth,Grass,Sand|Gravel|Cloth,Wood,Grass|Sand,Wood|Cloth,Sand|Gravel|Wood|Cloth,Sand|Gravel|Cloth,Grass,Sand|Gravel|Brick,Brick,Sand|Gravel|Cloth,Brick,
subset,none,1.1.07,1.4.12,1.1.12,1.4.02,1.4.01,1.4.11,1.1.09,1.4.03,1.5.07,1.1.05,1.4.10,1.1.01,1.5.06,1.5.05,1.4.08,1.5.04,Sand,Sand,Brick,Wood,Brick,Sand,Wood,Wood,Grass,Cloth,Grass,Grass,Brick,Gravel,Brick,Sand,Wood|Sand,Wood|Cloth|Sand,Brick,Brick,Brick,Gravel|Brick|Sand,Wood,Brick|Wood,Grass,Gravel|Wood|Sand,Grass,Grass,Brick,Gravel|Wood|Cloth,Gravel|Brick|Sand,Gravel|Wood|Sand,nice
single-noskip,additive,1.5.04,1.4.03,1.4.10,1.5.06,1.5.07,1.4.11,1.1.01,1.1.05,1.4.01,1.4.08,1.4.12,1.1.07,1.1.09,1.5.05,1.4.02,1.1.12,Sand,Wood,Grass,Brick,Grass,Sand,Grass,Cloth,Brick,Brick,Sand,Sand,Wood,Gravel,Wood,Brick,Sand,Brick,Grass,Brick,Grass,Gravel,Grass,Cloth,Brick,Brick,Sand,Sand,Wood,Gravel,Brick,Brick,
subset,multiplicative,1.4.08,1.1.05,1.5.04,1.1.01,1.5.05,1.5.07,1.4.02,1.4.10,1.1.09,1.4.03,1.5.06,1.4.01,1.1.07,1.4.12,1.1.12,1.4.11,Brick,Cloth,Sand,Grass,Gravel,Grass,Wood,Grass,Wood,Wood,Brick,Brick,Sand,Sand,Brick,Sand,Wood|Brick|Gravel,Sand|Gravel,Sand|Brick|Gravel,Grass,Sand|Gravel,Grass,Wood|Cloth,Grass,Wood,Sand|Cloth|Gravel,Sand|Brick|Gravel,Brick|Gravel,Gravel,Brick|Gravel,Brick,Sand|Brick|Gravel,
subset,none,1.1.09,1.5.06,1.4.12,1.4.10,1.4.03,1.1.05,1.4.01,1.1.01,1.4.11,1.1.07,1.4.08,1.1.12,1.4.02,1.5.04,1.5.05,1.5.07,Wood,Brick,Sand,Grass,Wood,Cloth,Brick,Grass,Sand,Sand,Brick,Brick,Wood,Sand,Gravel,Grass,Cloth|Wood,Cloth|Brick,Sand,Grass,Wood|Brick,Cloth|Wood|Brick,Brick,Grass|Gravel,Sand|Brick|Gravel,Sand|Brick|Gravel,Cloth|Brick,Brick,Brick,Sand|Gravel,Sand|Gravel,Grass|Sand|Gravel,
