Voter,Question,Hebrew,Russian,Japanese,Thai,Chinese,Tamil,Latin,Hindi
0,dfgcmyi9zlmzojy/2,1,1,0,0,0,1,0,1
1,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,0,0
2,dfgcmyi9zlmzojy/2,0,0,1,1,1,0,0,0
3,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
4,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
5,dfgcmyi9zlmzojy/2,1,0,0,0,0,0,0,0
6,dfgcmyi9zlmzojy/2,1,0,0,0,0,0,0,0
7,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,0,0
8,dfgcmyi9zlmzojy/2,1,1,0,0,0,1,1,1
9,dfgcmyi9zlmzojy/2,1,0,0,0,0,0,1,0
10,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,1,0
11,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
12,dfgcmyi9zlmzojy/2,1,0,0,0,0,1,1,1
13,dfgcmyi9zlmzojy/2,1,0,0,0,0,0,0,0
14,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,1,0
15,dfgcmyi9zlmzojy/2,1,1,0,0,0,1,1,0
16,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
17,dfgcmyi9zlmzojy/2,1,1,0,0,0,1,1,0
18,dfgcmyi9zlmzojy/2,1,1,0,1,0,0,1,0
19,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
20,dfgcmyi9zlmzojy/2,0,1,1,0,0,0,1,0
21,dfgcmyi9zlmzojy/2,1,0,0,0,0,1,1,1
22,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
23,dfgcmyi9zlmzojy/2,1,0,0,1,0,0,1,0
24,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,1,0
25,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,1,0
26,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
27,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,1,0
28,dfgcmyi9zlmzojy/2,1,0,0,0,0,0,1,0
29,dfgcmyi9zlmzojy/2,1,0,0,0,0,0,1,0
30,dfgcmyi9zlmzojy/2,1,1,0,0,0,1,1,1
31,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,1,0
32,dfgcmyi9zlmzojy/2,0,1,1,1,0,0,1,0
33,dfgcmyi9zlmzojy/2,1,0,0,0,0,0,1,0
34,dfgcmyi9zlmzojy/2,1,0,0,1,0,0,1,0
35,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,1,0
36,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
37,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,1,1
38,dfgcmyi9zlmzojy/2,0,0,0,1,0,1,0,0
39,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,1,0
40,dfgcmyi9zlmzojy/2,1,0,0,0,0,0,1,0
41,dfgcmyi9zlmzojy/2,1,1,0,0,0,1,0,1
42,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,1,0
43,dfgcmyi9zlmzojy/2,0,1,0,0,0,1,0,0
44,dfgcmyi9zlmzojy/2,1,1,0,0,0,1,0,0
45,dfgcmyi9zlmzojy/2,1,1,0,0,0,1,1,1
46,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
47,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
48,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
49,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
50,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
51,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,1,0
52,dfgcmyi9zlmzojy/2,0,0,0,0,1,0,0,0
53,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
54,dfgcmyi9zlmzojy/2,0,0,0,0,0,1,1,0
55,dfgcmyi9zlmzojy/2,1,1,0,0,0,1,1,1
56,dfgcmyi9zlmzojy/2,1,1,0,1,0,0,0,0
57,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,1,0
58,dfgcmyi9zlmzojy/2,0,0,0,0,0,0,1,0
59,dfgcmyi9zlmzojy/2,0,0,0,0,0,0,1,0
60,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,0,0
61,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,1,0
62,dfgcmyi9zlmzojy/2,1,1,0,1,1,0,1,0
63,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,1,0
64,dfgcmyi9zlmzojy/2,0,1,1,1,0,0,0,0
65,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
66,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,0,0
67,dfgcmyi9zlmzojy/2,0,1,0,1,0,1,0,0
68,dfgcmyi9zlmzojy/2,1,1,1,1,0,0,1,0
69,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,1,0
70,dfgcmyi9zlmzojy/2,1,0,0,0,0,1,0,1
71,dfgcmyi9zlmzojy/2,1,0,0,0,0,1,0,1
72,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,1,0
73,dfgcmyi9zlmzojy/2,1,1,0,0,0,1,0,0
74,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,1,0
75,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,1,0
76,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
77,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,1,0
78,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
79,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,0,1
80,dfgcmyi9zlmzojy/2,0,0,0,1,0,1,1,1
81,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
82,dfgcmyi9zlmzojy/2,1,0,0,0,0,0,1,0
83,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,1,1
84,dfgcmyi9zlmzojy/2,1,0,0,0,0,0,0,0
85,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,1
86,dfgcmyi9zlmzojy/2,0,1,0,1,0,0,1,0
87,dfgcmyi9zlmzojy/2,1,0,0,0,0,0,0,1
88,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,1,0
89,dfgcmyi9zlmzojy/2,1,1,1,1,1,0,1,0
90,dfgcmyi9zlmzojy/2,1,1,1,1,1,0,1,0
91,dfgcmyi9zlmzojy/2,1,0,1,1,1,1,1,1
92,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
93,dfgcmyi9zlmzojy/2,1,0,0,0,0,0,0,0
94,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,1,0
95,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,0,0
96,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
97,dfgcmyi9zlmzojy/2,0,1,0,0,0,1,1,1
98,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
99,dfgcmyi9zlmzojy/2,0,0,0,0,0,0,1,0
100,dfgcmyi9zlmzojy/2,0,0,0,1,0,0,0,0
101,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
102,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
103,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,0,1
104,dfgcmyi9zlmzojy/2,1,1,0,0,0,0,0,0
105,dfgcmyi9zlmzojy/2,1,1,1,1,0,0,1,0
106,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,1,0
107,dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
108,dfgcmyi9zlmzojy/2,0,0,0,0,0,0,1,0
0,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
1,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
2,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
3,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
4,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
5,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
6,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
7,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
8,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
9,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
10,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
11,ida8bqy4xp5417p/23,0,0,0,0,1,0,0,0
12,ida8bqy4xp5417p/23,0,0,1,1,1,1,0,0
13,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
14,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
15,ida8bqy4xp5417p/23,0,0,1,1,1,1,0,1
16,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
17,ida8bqy4xp5417p/23,0,0,1,1,1,1,0,1
18,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
19,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
20,ida8bqy4xp5417p/23,0,1,1,0,1,0,0,0
21,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
22,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
23,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
24,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
25,ida8bqy4xp5417p/23,0,0,1,1,0,0,0,0
26,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
