Question,Hebrew,Russian,Japanese,Thai,Chinese,Tamil,Latin,Hindi
dfgcmyi9zlmzojy/2,0,1,0,0,0,0,0,0
ida8bqy4xp5417p/23,0,0,1,0,0,0,0,0
p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
lje1kpehfxsqxg6/3,0,0,0,1,0,0,0,0
lgbjckfncok88u1/21,0,0,1,0,0,0,0,0
xzadddndcont63h/11,0,0,0,0,0,0,0,1
nm9rf5ltug85eay/8,0,0,0,0,0,1,0,0
9omx3hyvbsi6s4z/14,0,0,0,0,0,0,1,0
wc3yesvzcawev2b/18,0,0,0,0,1,0,0,0
zxvn4kcvil8onmd/6,0,0,0,0,0,1,0,0
9v2qvj0b6ny4lrp/5,0,0,0,1,0,0,0,0
867rdbxwrn1tlom/13,0,0,0,0,0,0,1,0
zi53rt5amlnlle4/0,0,1,0,0,0,0,0,0
0t7hyu660p7bja8/1,0,1,0,0,0,0,0,0
aqjoi7izpzp6acv/10,0,0,0,0,0,0,0,1
m5vgbt7e802e612/20,0,0,0,0,1,0,0,0
c7557xr0oa9typw/22,0,0,1,0,0,0,0,0
a9sdxr2f6l0ngql/24,0,0,1,0,0,0,0,0
0xtz9sah11iwzfb/19,0,0,0,0,1,0,0,0
wx0obc7c8f6ce6w/16,1,0,0,0,0,0,0,0
6l8h1tv26zedant/7,0,0,0,0,0,1,0,0
h53qagtbagigq4f/12,0,0,0,0,0,0,0,1
c8vfeb66wb94r09/4,0,0,0,1,0,0,0,0
2e3tfgr5x7rfryb/9,0,0,0,0,0,0,0,1
c39wrwcnjy60fx0/15,1,0,0,0,0,0,0,0
